Code Insee;Commune;Distance au plus proche généraliste 2017
01001;L'Abergement-Clémenciat;5
01002;L'Abergement-de-Varey;4
01004;Ambérieu-en-Bugey;0
01005;Ambérieux-en-Dombes;0
01006;Ambléon;11
01007;Ambronay;0
01008;Ambutrix;2
01009;Andert-et-Condon;7
01010;Anglefort;6
01011;Apremont;7
01012;Aranc;12
01013;Arandas;10
01014;Arbent;0
01015;Arboys en Bugey;5
01016;Arbigny;5
01017;Argis;3
01019;Armix;15
01021;Ars-sur-Formans;0
01022;Artemare;0
01023;Asnières-sur-Saône;4
01024;Attignat;0
01025;Bâgé-la-Ville;2
01026;Bâgé-le-Châtel;0
01027;Balan;4
01028;Baneins;5
01029;Beaupont;8
01030;Beauregard;2
01031;Bellignat;0
01032;Béligneux;0
01033;Bellegarde-sur-Valserine;0
01034;Belley;0
01035;Belleydoux;11
01036;Belmont-Luthézieu;4
01037;Bénonces;4
01038;Bény;5
01039;Béon;2
01040;Béréziat;8
01041;Bettant;2
01042;Bey;3
01043;Beynost;0
01044;Billiat;7
01045;Birieux;6
01046;Biziat;4
01047;Blyes;4
01049;La Boisse;0
01050;Boissey;8
01051;Bolozon;14
01052;Bouligneux;4
01053;Bourg-en-Bresse;0
01054;Bourg-Saint-Christophe;4
01056;Boyeux-Saint-Jérôme;7
01057;Boz;4
01058;Brégnier-Cordon;0
01059;Brénaz;5
01060;Brénod;0
01061;Brens;5
01062;Bressolles;4
01063;Brion;4
01064;Briord;4
01065;Buellas;0
01066;La Burbanche;10
01067;Ceignes;5
01068;Cerdon;5
01069;Certines;4
01071;Cessy;0
01072;Ceyzériat;0
01073;Ceyzérieu;6
01074;Chalamont;0
01075;Chaleins;0
01076;Chaley;5
01077;Challes-la-Montagne;8
01078;Challex;6
01079;Champagne-en-Valromey;0
01080;Champdor-Corcelles;5
01081;Champfromier;0
01082;Chanay;9
01083;Chaneins;5
01084;Chanoz-Châtenay;4
01085;La Chapelle-du-Châtelard;8
01087;Charix;17
01088;Charnoz-sur-Ain;0
01089;Château-Gaillard;5
01090;Châtenay;7
01091;Châtillon-en-Michaille;0
01092;Châtillon-la-Palud;4
01093;Châtillon-sur-Chalaronne;0
01094;Chavannes-sur-Reyssouze;5
01095;Nivigne et Suran;9
01096;Chaveyriat;4
01097;Chavornay;4
01098;Chazey-Bons;6
01099;Chazey-sur-Ain;0
01100;Cheignieu-la-Balme;7
01101;Chevillard;5
01102;Chevroux;4
01103;Chevry;4
01104;Chézery-Forens;6
01105;Civrieux;4
01106;Cize;11
01107;Cleyzieu;9
01108;Coligny;0
01109;Collonges;0
01110;Colomieu;9
01111;Conand;9
01112;Condamine;3
01113;Condeissiat;6
01114;Confort;6
01115;Confrançon;5
01116;Contrevoz;7
01117;Conzieu;15
01118;Corbonod;2
01121;Corlier;11
01122;Cormaranche-en-Bugey;4
01123;Cormoranche-sur-Saône;0
01124;Cormoz;4
01125;Corveissiat;6
01127;Courmangoux;7
01128;Courtes;2
01129;Crans;6
01130;Cras-sur-Reyssouze;3
01133;Cressin-Rochefort;8
01134;Crottet;2
01135;Crozet;6
01136;Cruzilles-lès-Mépillat;5
01138;Culoz;0
01139;Curciat-Dongalon;6
01140;Curtafond;5
01141;Cuzieu;5
01142;Dagneux;0
01143;Divonne-les-Bains;0
01144;Dommartin;6
01145;Dompierre-sur-Veyle;6
01146;Dompierre-sur-Chalaronne;5
01147;Domsure;7
01148;Dortan;0
01149;Douvres;2
01150;Drom;6
01151;Druillat;3
01152;Échallon;13
01153;Échenevex;3
01154;Étrez;5
01155;Évosges;9
01156;Faramans;7
01157;Fareins;0
01158;Farges;3
01159;Feillens;0
01160;Ferney-Voltaire;0
01162;Flaxieu;9
01163;Foissiat;0
01165;Francheleins;6
01166;Frans;2
01167;Garnerans;4
01169;Genouilleux;1
01170;Béard-Géovreissiat;5
01171;Géovreisset;5
01173;Gex;0
01174;Giron;12
01175;Gorrevod;2
01177;Grand-Corent;9
01179;Grièges;0
01180;Grilly;4
01181;Groissiat;2
01183;Guéreins;0
01184;Hautecourt-Romanèche;5
01185;Hauteville-Lompnes;0
01186;Hostiaz;10
01187;Haut Valromey;13
01188;Illiat;6
01189;Injoux-Génissiat;8
01190;Innimond;11
01191;Izenave;12
01192;Izernore;0
01193;Izieu;5
01194;Jassans-Riottier;0
01195;Jasseron;0
01196;Jayat;4
01197;Journans;2
01198;Joyeux;8
01199;Jujurieux;0
01200;Labalme;8
01202;Lagnieu;0
01203;Laiz;2
01204;Le Poizat-Lalleyriat;12
01205;Lancrans;3
01206;Lantenay;10
01207;Lapeyrouse;6
01208;Lavours;6
01209;Léaz;6
01210;Lélex;18
01211;Lent;0
01212;Lescheroux;3
01213;Leyment;5
01214;Leyssard;11
01215;Lhôpital;10
01216;Lhuis;0
01218;Lochieu;3
01219;Lompnas;14
01221;Lompnieu;8
01224;Loyettes;0
01225;Lurcy;3
01227;Magnieu;4
01228;Maillat;0
01229;Malafretaz;3
01230;Mantenay-Montlin;3
01231;Manziat;0
01232;Marboz;0
01233;Marchamp;8
01234;Marignieu;10
01235;Marlieux;6
01236;Marsonnas;5
01237;Martignat;0
01238;Massieux;0
