Code;Nom Commune;Distance au plus proche généraliste 2017;Evolution du nbre de géné sur 5 ans 2017
01001;L'Abergement-Clémenciat;5;0
01002;L'Abergement-de-Varey;4;0
01004;Ambérieu-en-Bugey;0;-1
01005;Ambérieux-en-Dombes;0;0
01006;Ambléon;11;0
01007;Ambronay;0;-1
01008;Ambutrix;2;0
01009;Andert-et-Condon;7;0
01010;Anglefort;6;0
01011;Apremont;7;0
01012;Aranc;12;0
01013;Arandas;10;0
01014;Arbent;0;1
01015;Arboys en Bugey;5;0
01016;Arbigny;5;0
01017;Argis;3;0
01019;Armix;15;0
01021;Ars-sur-Formans;0;2
01022;Artemare;0;1
01023;Asnières-sur-Saône;4;0
01024;Attignat;0;0
01025;Bâgé-la-Ville;2;0
01026;Bâgé-le-Châtel;0;2
01027;Balan;4;0
01028;Baneins;5;0
01029;Beaupont;8;0
01030;Beauregard;2;0
01031;Bellignat;0;-2
01032;Béligneux;0;0
01033;Bellegarde-sur-Valserine;0;-4
01034;Belley;0;-1
01035;Belleydoux;11;0
01036;Belmont-Luthézieu;4;0
01037;Bénonces;4;0
01038;Bény;5;0
01039;Béon;2;0
01040;Béréziat;8;0
01041;Bettant;2;0
01042;Bey;3;0
01043;Beynost;0;-2
01044;Billiat;7;0
01045;Birieux;6;0
01046;Biziat;4;0
01047;Blyes;4;0
01049;La Boisse;0;2
01050;Boissey;8;0
01051;Bolozon;14;0
01052;Bouligneux;4;0
01053;Bourg-en-Bresse;0;3
01054;Bourg-Saint-Christophe;4;0
01056;Boyeux-Saint-Jérôme;7;0
01057;Boz;4;0
01058;Brégnier-Cordon;0;0
01059;Brénaz;5;0
01060;Brénod;0;0
01061;Brens;5;0
01062;Bressolles;4;0
01063;Brion;4;0
01064;Briord;4;0
01065;Buellas;0;0
01066;La Burbanche;10;0
01067;Ceignes;5;0
01068;Cerdon;5;0
01069;Certines;4;0
01071;Cessy;0;-1
01072;Ceyzériat;0;1
01073;Ceyzérieu;6;0
01074;Chalamont;0;0
01075;Chaleins;0;0
01076;Chaley;5;0
01077;Challes-la-Montagne;8;0
01078;Challex;6;0
01079;Champagne-en-Valromey;0;0
01080;Champdor-Corcelles;5;0
01081;Champfromier;0;0
01082;Chanay;9;0
01083;Chaneins;5;0
01084;Chanoz-Châtenay;4;0
01085;La Chapelle-du-Châtelard;8;0
01087;Charix;17;0
01088;Charnoz-sur-Ain;0;0
01089;Château-Gaillard;5;0
01090;Châtenay;7;0
01091;Châtillon-en-Michaille;0;0
01092;Châtillon-la-Palud;4;-1
01093;Châtillon-sur-Chalaronne;0;1
01094;Chavannes-sur-Reyssouze;5;0
01095;Nivigne et Suran;9;-1
01096;Chaveyriat;4;0
01097;Chavornay;4;0
01098;Chazey-Bons;6;0
01099;Chazey-sur-Ain;0;0
01100;Cheignieu-la-Balme;7;0
01101;Chevillard;5;0
01102;Chevroux;4;0
01103;Chevry;4;0
01104;Chézery-Forens;6;0
01105;Civrieux;4;0
01106;Cize;11;0
01107;Cleyzieu;9;0
01108;Coligny;0;1
01109;Collonges;0;1
01110;Colomieu;9;0
01111;Conand;9;0
01112;Condamine;3;0
01113;Condeissiat;6;0
01114;Confort;6;0
01115;Confrançon;5;0
01116;Contrevoz;7;0
01117;Conzieu;15;0
01118;Corbonod;2;0
01121;Corlier;11;0
01122;Cormaranche-en-Bugey;4;0
01123;Cormoranche-sur-Saône;0;0
01124;Cormoz;4;0
01125;Corveissiat;6;-1
01127;Courmangoux;7;0
01128;Courtes;2;0
01129;Crans;6;0
01130;Cras-sur-Reyssouze;3;0
01133;Cressin-Rochefort;8;0
01134;Crottet;2;0
01135;Crozet;6;0
01136;Cruzilles-lès-Mépillat;5;0
01138;Culoz;0;-1
01139;Curciat-Dongalon;6;0
01140;Curtafond;5;0
01141;Cuzieu;5;0
01142;Dagneux;0;4
01143;Divonne-les-Bains;0;-1
01144;Dommartin;6;0
01145;Dompierre-sur-Veyle;6;0
01146;Dompierre-sur-Chalaronne;5;0
01147;Domsure;7;0
01148;Dortan;0;0
01149;Douvres;2;0
01150;Drom;6;0
01151;Druillat;3;0
01152;Échallon;13;0
01153;Échenevex;3;0
01154;Étrez;5;0
01155;Évosges;9;0
01156;Faramans;7;0
01157;Fareins;0;0
01158;Farges;3;0
01159;Feillens;0;-1
01160;Ferney-Voltaire;0;-2
01162;Flaxieu;9;0
01163;Foissiat;0;0
01165;Francheleins;6;0
01166;Frans;2;-1
01167;Garnerans;4;0
01169;Genouilleux;1;0
01170;Béard-Géovreissiat;5;0
01171;Géovreisset;5;0
01173;Gex;0;3
01174;Giron;12;0
01175;Gorrevod;2;0
01177;Grand-Corent;9;0
01179;Grièges;0;0
01180;Grilly;4;0
01181;Groissiat;2;0
01183;Guéreins;0;0
01184;Hautecourt-Romanèche;5;0
01185;Hauteville-Lompnes;0;0
01186;Hostiaz;10;0
01187;Haut Valromey;13;0
01188;Illiat;6;0
01189;Injoux-Génissiat;8;0
01190;Innimond;11;0
01191;Izenave;12;0
01192;Izernore;0;0
01193;Izieu;5;0
01194;Jassans-Riottier;0;1
